mass_eV,A_unit
1e-35,-195.4023529707972
1.7012542798525996e-35,-565.5464092138668
2.89426612471674e-35,-1636.841689175934
4.923882631706751e-35,-4737.453435648046
8.376776400682855e-35,-13711.444315491368
1.4251026703029962e-34,-39684.51261272217
2.4244620170823406e-34,-114857.09003181722
4.124626382901331e-34,-332423.1709979325
7.017038286703837e-34,-962089.1741456378
1.1937766417144455e-33,-2784274.4947711197
2.0309176209047304e-33,-8056189.936164844
3.4551072945922324e-33,-23297989.099123534
5.878016072274876e-33,-67273536.76029076
1e-32,-193396254.40762478
1.7012542798525856e-32,-548858730.8604189
2.89426612471674e-32,-1499842672.2617881
4.9238826317067517e-32,-3654765863.9638386
8.376776400682924e-32,-6040875794.899543
1.4251026703029963e-31,456820772.20893806
2.4244620170823406e-31,-324525738.507442
4.124626382901364e-31,4211369702.025738
7.0170382867038365e-31,-4840490436.70322
1.1937766417144357e-30,4675447428.029609
2.0309176209047306e-30,-4015721579.3411074
3.4551072945922325e-30,-3750917803.223794
5.878016072274924e-30,5947875631.44551
1e-29,5847092972.245209
1.7012542798525858e-29,3012473655.0639086
2.89426612471674e-29,-1429564348.450455
4.923882631706752e-29,-1683875599.3636212
8.376776400682924e-29,-6996192547.614638
1.4251026703029963e-28,-905708374.6202744
2.4244620170823407e-28,-175776521.27101412
4.124626382901365e-28,5601892846.67588
7.017038286703837e-28,6999751049.4014
1.1937766417144358e-27,10127134845.424482
2.0309176209047306e-27,11050048439.7749
3.455107294592232e-27,-4336727160.012378
