mass_eV,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,rho_unit_at_eval,rho_phi_max_at_eval,phi_amp_max
1e-35,0.9999999552911042,-1.332008816031719e-07,-4.202576943036738e-24,1.1540867756184545e-40,1.4946302525541625e-24,113801412.34471868
1.7012542798525996e-35,0.9999999234925828,-2.2916345320619008e-07,-7.230260288367936e-24,3.340234053022805e-40,1.4946302525541625e-24,66892655.150037825
2.89426612471674e-35,0.9999998539490248,-4.3809447730638756e-07,-1.3822173900354376e-23,9.667525122410319e-40,1.4946302525541625e-24,39319612.53915709
4.923882631706751e-35,0.9999995632493297,-1.310245304136766e-06,-4.133911606750363e-23,2.7980379983689147e-39,1.4946302525541625e-24,23112135.777665466
8.376776400682855e-35,0.9999985486834067,-4.351678839103978e-06,-1.3729837920444936e-22,8.09825711428897e-39,1.4946302525541625e-24,13585358.508276984
1.4251026703029962e-34,0.9999962260422856,-1.1320393294086145e-05,-3.571659832220003e-22,2.3438438860817248e-38,1.4946302525541625e-24,7985507.894912078
2.4244620170823406e-34,0.9999897523016158,-3.074541715888292e-05,-9.700384839862097e-22,6.7836487173831e-38,1.4946302525541625e-24,4693914.871736833
4.124626382901331e-34,0.9999696435344333,-9.106820853553772e-05,-2.873262915596188e-21,1.9633171682070064e-37,1.4946302525541625e-24,2759126.7522270894
7.017038286703837e-34,0.9999019237454442,-0.0002940735441366014,-9.2782170903901e-21,5.681903730602023e-37,1.4946302525541625e-24,1621884.5945383578
1.1937766417144455e-33,0.9997491956530187,-0.0007523072088146671,-2.3735795828017683e-20,1.644148972479411e-36,1.4946302525541625e-24,953446.4400904034
2.0309176209047304e-33,0.9992012645595958,-0.0023941700137142643,-7.55376659391864e-20,4.755428586792316e-36,1.4946302525541625e-24,560624.4730209175
3.4551072945922324e-33,0.9977378623447974,-0.006779038658782583,-2.138832057300435e-19,1.3737830115080642e-35,1.4946302525541625e-24,329843.41139739245
5.878016072274876e-33,0.9936910887933693,-0.01888551203013952,-5.958505413782285e-19,3.955090806279679e-35,1.4946302525541625e-24,194396.59546763648
1e-32,0.9823501985066412,-0.05265674665430882,-1.6613555910538022e-18,1.1275080129038548e-34,1.4946302525541625e-24,115134.92058832839
1.7012542798525856e-32,0.9500282200952197,-0.14758618981618893,-4.656443042771793e-18,3.123152867227307e-34,1.4946302525541625e-24,69178.36019616321
2.89426612471674e-32,0.8543118284065944,-0.41441672153603615,-1.3075124862347377e-17,7.910626458965971e-34,1.4946302525541625e-24,43467.17798717008
4.9238826317067517e-32,0.6314141606557122,-0.9656222381662023,-3.046602773914506e-17,1.5796225968863176e-33,1.4946302525541625e-24,30760.275110640345
8.376776400682924e-32,0.1612972805491514,-1.5615957759370758,-4.926939163847428e-17,1.4244276811926173e-33,1.4946302525541625e-24,32392.66516449916
1.4251026703029963e-31,-0.20714154786090996,0.1305215828449297,4.118043274420033e-18,1.0141716422236771e-33,1.4946302525541625e-24,38389.384829169794
2.4244620170823406e-31,0.1255706995604304,-0.09293371319178134,-2.9321208357623143e-18,1.073958940303974e-33,1.4946302525541625e-24,37305.51548322822
4.124626382901364e-31,0.04651411527262493,1.0846255802294111,3.42206628097229e-17,1.010319763253548e-33,1.4946302525541625e-24,38462.49563845566
7.0170382867038365e-31,-0.02220113190654802,-1.2503915028495018,-3.9450688587028386e-17,1.0582676367309797e-33,1.4946302525541625e-24,37581.06875917956
1.1937766417144357e-30,0.01488359597139782,1.2201244020910325,3.849574130553018e-17,1.1052956084759958e-33,1.4946302525541625e-24,36772.881478621755
2.0309176209047306e-30,0.011041432145199592,-1.0013253813751262,-3.1592485797364014e-17,1.0793710820154045e-33,1.4946302525541625e-24,37211.86999393767
3.4551072945922325e-30,-0.006791882387902892,-0.9595666035681107,-3.0274968415579826e-17,1.093825350600894e-33,1.4946302525541625e-24,36965.18567966107
5.878016072274924e-30,0.00012161756065315896,1.4543282840441858,4.588503049355746e-17,1.0533077951523079e-33,1.4946302525541625e-24,37669.446172067524
1e-29,0.0007925177309162693,1.4233084831440748,4.490633501893763e-17,1.0807758480228689e-33,1.4946302525541625e-24,37187.67859139466
1.7012542798525858e-29,-0.0016327839898402157,0.7429382347510235,2.3440198427265645e-17,1.1652224240791374e-33,1.4946302525541625e-24,35814.7948101078
2.89426612471674e-29,-0.0010985768207647311,-0.3575241208114757,-1.1280125241048027e-17,1.23036643953539e-33,1.4946302525541625e-24,34853.760775432354
4.923882631706752e-29,0.0007023845643177157,-0.4427421062200405,-1.3968809702439365e-17,1.4779600779406287e-33,1.4946302525541625e-24,31800.61599838203
8.376776400682924e-29,1.6994802609989097e-06,-1.78281712204838,-5.62490731337113e-17,1.5820025038961857e-33,1.4946302525541625e-24,30737.129082981093
1.4251026703029963e-28,0.0002826607819619454,-0.23769261917793733,-7.499361181881429e-18,1.9007929550915635e-33,1.4946302525541625e-24,28041.38611178901
2.4244620170823407e-28,0.00017402926417164875,-0.05739380752838685,-1.810813031331643e-18,2.056175766894707e-33,1.4946302525541625e-24,26961.04777718403
4.124626382901365e-28,-8.330438197614056e-05,1.4361853676395517,4.531260934105555e-17,2.3891378783317246e-33,1.4946302525541625e-24,25011.876598778217
7.017038286703837e-28,-4.8644793908256976e-05,1.8297132266552607,5.772867661356111e-17,3.0109799049038403e-33,1.4946302525541625e-24,22279.885557159894
1.1937766417144358e-27,-8.522775685792752e-06,2.473559074556622,7.804244393021653e-17,3.164778192378422e-33,1.4946302525541625e-24,21731.77728516585
2.0309176209047306e-27,-7.443888245325047e-06,2.6778486927771046,8.448791808100272e-17,3.83287255663906e-33,1.4946302525541625e-24,19747.162257012587
3.455107294592232e-27,-1.767713804165611e-05,-1.0749313310901858,-3.391480276268555e-17,4.880228830917882e-33,1.4946302525541625e-24,17500.35228137274
5.878016072274924e-27,-2.8168550198424747e-06,3.387017519990762,1.06862669104404e-16,6.026209577346579e-33,1.4946302525541625e-24,15748.702119865331
1e-26,-8.13555478465825e-06,-0.6387744522370955,-2.015376139003433e-17,7.841670332481805e-33,1.4946302525541625e-24,13805.832311163542
