case_name,mass_eV,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_template_scale_limit,L_at_min_scale_limit
nphi_1_no_cut,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_1_Lcut_800,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_2_no_cut,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_2_Lcut_800,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_3_no_cut,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_3_Lcut_800,2.0309176209047306e-27,200280650500282.38,8.726307811377393e+24,100,1.1459600344331153e-25,100
nphi_1_no_cut,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_1_Lcut_800,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_2_no_cut,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_2_Lcut_800,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_3_no_cut,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_3_Lcut_800,5.878016072274924e-27,202027735414180.88,8.879214203295408e+24,100,1.1262257865441096e-25,100
nphi_1_no_cut,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
nphi_1_Lcut_800,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
nphi_2_no_cut,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
nphi_2_Lcut_800,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
nphi_3_no_cut,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
nphi_3_Lcut_800,1e-26,-33906827797664.184,2.501075850697292e+23,100,3.998279379336709e-24,100
